xrays,masks
data/Femur/Group 5/44.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/44.png
data/Femur/Group 5/47.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/47.png
data/Femur/Group 5/4.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/4.png
data/Femur/Group 5/56.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/56.png
data/Femur/Group 5/26.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/26.png
data/Femur/Group 5/65.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/65.png
data/Femur/Group 5/74.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/74.png
data/Femur/Group 5/10.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/10.png
data/Femur/Group 5/40.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/40.png
data/Femur/Group 5/127.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/127.png
data/Femur/Group 5/18.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/18.png
data/Femur/Group 5/63.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/63.png
data/Femur/Group 5/11.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/11.png
data/Femur/Group 5/36.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/36.png
data/Femur/Group 5/109.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/109.png
data/Femur/Group 5/137.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/137.png
data/Femur/Group 5/129.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/129.png
data/Femur/Group 5/0.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/0.png
data/Femur/Group 5/108.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/108.png
data/Femur/Group 5/123.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/123.png
data/Femur/Group 5/66.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/66.png
data/Femur/Group 5/45.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/45.png
data/Femur/Group 5/31.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/31.png
data/Femur/Group 5/71.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/71.png
data/Femur/Group 5/42.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/42.png
data/Femur/Group 5/12.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/12.png
data/Femur/Group 5/15.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/15.png
data/Femur/Group 5/134.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/134.png
data/Femur/Group 5/77.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/77.png
data/Femur/Group 5/117.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/117.png
